rank,alpha,trainable_params,train_time_min,peak_vram_gb,eval_loss,eval_perplexity
8,16,12156928,3.9977584799130756,7.07415808,1.610206961631775,5.003846724959153
16,32,24313856,4.636743299166361,6.403194368,1.5989584922790527,4.947876488322689
64,128,97255424,4.40799042781194,8.73798912,1.744612455368042,5.723682862974826
